User Group,Scenario (Stimulus),Query,Query Scope,Query Purpose,Response Format,Information Feature 1,Information Feature 2,Information Feature 3
End-user,1 GUI Screenshot,Does it allow for text to be read aloud?,UI-level,Inform,Binary,Accessibility,,
End-user,1 GUI Screenshot,Can I change the background colour,UI-level,Inform,Binary,Design,,
End-user,1 GUI Screenshot,is it possible to change the color,UI-level,Inform,Binary,Design,,
End-user,1 GUI Screenshot,Change screen size (e.g. from 50%-200%),UI-level,Execute,Image,Design,,
End-user,1 GUI Screenshot,Force dark mode (changing white background to the grey/black/amoled black),UI-level,Execute,Image,Design,,
End-user,1 GUI Screenshot,Force fullscreen mode (hide android UI),UI-level,Execute,Image,Design,,
End-user,1 GUI Screenshot,is it possible to put them in alphabetic?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Is it possible to watch what is on before open the chanel?,App-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,Can I save a filter for future searches?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does this application has a search bar?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Can you see the battery percentage of the device,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,does the screen have a menu,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,How do I change the location on my forecast?,UI-level,Educate,Image,Element,,
End-user,1 GUI Screenshot,How do I view the 7 day forecast?,UI-level,Educate,Image,Element,,
End-user,1 GUI Screenshot,How can I save a search?,UI-level,Educate,Image,Functionality,,
End-user,1 GUI Screenshot,does the screen has images?,UI-level,Inform,Textual,Element,,
End-user,1 GUI Screenshot,Does the screen has an login page?,UI-level,Inform,Textual,Element,,
End-user,1 GUI Screenshot,does the screen have many pictures,UI-level,Inform,Textual,Element,,
End-user,1 GUI Screenshot,Do I need to log in to access the features?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Is there a login page?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,does it have a search page?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,do i need to log in,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,can i share my data with other users,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can you share screen,UI-level,Inform,Binary,Functionality,,
Designer,1 GUI Screenshot,Do you think it needs a chat room,UI-level,Suggest,Binary,Functionality,,
End-user,1 GUI Screenshot,Does this application can be used in my country?,App-level,Inform,Binary,Localisation,,
End-user,1 GUI Screenshot,Translate this screenshot! (from auto-detect language to english),UI-level,Execute,Textual,Localisation,,
End-user,1 GUI Screenshot,Is it refreshed automatically?,App-level,Inform,Binary,Metadata,,
End-user,1 GUI Screenshot,Is there a low battery mode version?,App-level,Inform,Binary,Metadata,,
End-user,1 GUI Screenshot,Does the app work well with my device?,App-level,Inform,Numeric,Metadata,Compatibility,
End-user,1 GUI Screenshot,Is the app well-reviewed?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Is the app free or does it have additional costs?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Does it have a good star ratting from other users?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,how many people liked the app,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,how many people download app,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Which languages does the app work with?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,Please describe the application,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,who is the creator?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,Who created the app?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,Where is the FAQ's?,App-level,Find,Image,Page,,
End-user,1 GUI Screenshot,Are you using my location services?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does the application use your microphone without permission?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does the application have access to your camera without permission?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Can other users have access to my data whilst I am using the application?,App-level,Inform,Binary,Privacy,Usage,
End-user,1 GUI Screenshot,Does this application has access to my camer?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does this application has access to my microphone?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does this application uses my GPS?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Is it still on after turning off the screen?,App-level,Inform,Binary,Privacy,,
End-user,1 GUI Screenshot,does the app track my location,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,does this app use a camera,App-level,Inform,Binary,Privacy,Sensor,
